"stem","a","b","c","d","answer","explanation"
"Synthetic review-row 1: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 2: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 3: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 4: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 5: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 6: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 7: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 8: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 9: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 10: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 11: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 12: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 13: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 14: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 15: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 16: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 17: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 18: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 19: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 20: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 21: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 22: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 23: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 24: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 25: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 26: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 27: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 28: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 29: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 30: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 31: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 32: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 33: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 34: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 35: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 36: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 37: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 38: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 39: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 40: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 41: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 42: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
