stem,choice_a,choice_b,choice_c,choice_d,answer,explanation
"A charterholder discovers her firm is filing a required regulatory report with a material omission. Local law does not require her to report the firm. What should she do first under Standard I(A)?",Ignore the omission because local law is silent,Dissociate from the activity and escalate internally,Correct the filing herself without telling anyone,Resign immediately without notice,B,"I(A) requires dissociation from violations and compliance with the stricter of law or the Code. Escalation and dissociation come before walking away without notice."
"An analyst accepts a weekend at a client's ski house after publishing a buy recommendation on a stock the client owns. The most serious Standard I issue is:",Independence and Objectivity,Knowledge of the Law,Misrepresentation,Misconduct as a CFA candidate,A,"Gifts that could reasonably be expected to influence research impair independence and objectivity under I(B)."
"A firm advertises that every employee is a CFA charterholder. Two associates have not earned the charter. This is primarily a violation of:",I(A) Knowledge of the Law,I(C) Misrepresentation,II(A) Material Nonpublic Information,III(B) Fair Dealing,B,"Claiming a designation that people have not earned is a misrepresentation of qualifications."
"A portfolio manager is convicted of a misdemeanor for disorderly conduct after a sports argument. Under Standard I(D), the conviction:",Always bars the manager from the profession,Is misconduct only if it involves fraud or honesty,Must be disclosed to all clients within 24 hours,Automatically violates confidentiality,B,"I(D) targets honesty/integrity and professional conduct, not every personal misdemeanor."
"An analyst overhears a CEO in an elevator confirm that an unannounced acquisition will close tomorrow. The analyst should:",Trade immediately for client accounts,Tell only the firm's proprietary desk,Keep the information confidential and not trade,Post an anonymous tip on social media,C,"II(A) prohibits acting or causing others to act on material nonpublic information."
"A trader enters a series of small orders at the close to push a thinly traded stock higher so a month-end report looks better. This most clearly violates:",II(B) Market Manipulation,III(D) Performance Presentation,I(B) Independence,IV(A) Loyalty to Employer,A,"Transactions intended to distort price or volume are market manipulation."
"A manager learns a client is about to inherit a large taxable estate and immediately buys municipal bonds in the client's account before discussing the change. The suitability problem is:",Failing to update the IPS and judge the whole portfolio,Using material nonpublic information,Misrepresenting performance,Failing to supervise a junior,A,"III(C) requires inquiry and suitability in the context of the client's circumstances and the whole portfolio before acting."
"Two clients have the same mandate. The manager allocates a scarce IPO entirely to the larger fee-paying account. This most likely violates:",III(A) Loyalty and Prudence only,III(B) Fair Dealing,II(A) MNPI,V(A) Diligence,B,"III(B) requires fair and objective dealing when taking investment action for clients."
"A firm reports a composite return that silently drops two accounts that lost money last quarter. This is a problem under:",III(D) Performance Presentation,I(A) Knowledge of the Law,II(B) Market Manipulation,III(E) Confidentiality,A,"Performance must be fair, accurate, and complete; dropping losers is a misleading presentation."
"A banker discusses a client's pending divorce settlement with a colleague who does not work on the account. The primary Standard is:",III(E) Preservation of Confidentiality,II(A) Material Nonpublic Information,I(C) Misrepresentation,IV(C) Responsibilities of Supervisors,A,"Client information stays confidential unless illegal activity, legal requirement, or client consent."
